contrato;contrato_siad;obra;municipio;portal_de_compras
DC-9445591/2024;9445591;Obra 1;Presidente Olegário;2301520 002220/2024
DC-9445592/2024;9445592;Obra 1;Iturama;2301520 002220/2024
DC-9445668/2024;9445668;Obra 1;Belo Horizonte;2301520 000008/2024
DC-9445950/2024;9445950;Obra 1;Contagem;2301520 002220/2024
DC-9445950/2024;9445950;Obra 1;Esmeraldas;2301520 002220/2024
DC-9447109/2024;9447109;Obra 1;Belo Horizonte;2301520 000021/2024
DC-9447760/2025;9447760;Obra 1;Cordislândia;2301520 000019/2024
DC-9447760/2025;9447760;Obra 1;Machado;2301520 000019/2024
DC-9447761/2025;9447761;Obra 1;Carvalhópolis;2301520 000019/2024
DC-9448965/2025;9448965;Obra 1;Sete Lagoas;2301520 000025/2024
DC-9453556/2025;9453556;Obra 1;Belo Horizonte;2301520 000027/2023
DC-9458476/2025;9458476;Obra 1;Coroaci;2301520 000024/2024
DC-9458476/2025;9458476;Obra 1;Peçanha;2301520 000024/2024
DC-9458861/2025;9458861;Obra 1;Uberlândia;2301520 000027/2024
DC-9459021/2025;9459021;Obra 1;Curral de Dentro;2301520 000004/2025
DC-9459021/2025;9459021;Obra 1;Taiobeiras;2301520 000004/2025
DC-9459022/2025;9459022;Obra 1;Formiga;2301520 000001/2025
DC-9459022/2025;9459022;Obra 1;Guapé;2301520 000001/2025
DC-9459022/2025;9459022;Obra 1;Pains;2301520 000001/2025
DC-9459022/2025;9459022;Obra 1;Pimenta;2301520 000001/2025
DC-9459023/2025;9459023;Obra 1;Formiga;2301520 000001/2025
DC-9459023/2025;9459023;Obra 1;Guapé;2301520 000001/2025
DC-9459023/2025;9459023;Obra 1;Pains;2301520 000001/2025
DC-9459023/2025;9459023;Obra 1;Pimenta;2301520 000001/2025
DC-9468321/2025;9468321;Obra 1;Juiz de Fora;2301520 000007/2025
DC-9468321/2025;9468321;Obra 1;Matias Barbosa;2301520 000007/2025
DC-9470224/2025;9470224;Obra 1;Itapagipe;1301606 000001/2025
DC-9471605/2025;9471605;Obra 1;Couto de Magalhães de Minas;2301520 000011/2025
DC-9471605/2025;9471605;Obra 1;Diamantina;2301520 000011/2025
DC-9472752/2025;9472752;Obra 1;Belo Horizonte;2301520 000008/2025
DC-9472752/2025;9472752;Obra 2;Belo Horizonte;2301520 000008/2025
DC-9472756/2025;9472756;Obra 1;Belo Horizonte;2301520 000002/2025
DC-9473949/2025;9473949;Obra 1;Urucânia;2301520 000018/2025
DC-9473951/2025;9473951;Obra 1;Alvorada de Minas;2301520 000010/2025
DC-9473951/2025;9473951;Obra 1;Conceição do Mato Dentro;2301520 000010/2025
DC-9473951/2025;9473951;Obra 1;Serro;2301520 000010/2025
DC-9478759/2025;9478759;Obra 1;Lagamar;2301520 000029/2025
DC-9478759/2025;9478759;Obra 1;Patos de Minas;2301520 000029/2025
DC-9479677/2025;9479677;Obra 1;Rio Pardo de Minas;2301520 000032/2025
DC-9481581/2025;9481581;Obra 1;Belo Horizonte;2301520 000031/2025
DC-9491012/2025;9491012;Obra 1;Coroaci;2301520 000024/2025
DC-9491012/2025;9491012;Obra 1;Peçanha;2301520 000024/2025
DC-9491013/2025;9491013;Obra 1;Inhaúma;2301520 000028/2025
DC-9492065/2025;9492065;Obra 1;Guapé;2301520 000023/2025
DC-9492065/2025;9492065;Obra 1;Pimenta;2301520 000023/2025
DC-9492083/2025;9492083;Obra 1;Araguari;2301520 000038/2025
DC-9492715/2025;9492715;Obra 1;São Francisco;2301520 000035/2025
DC-9492718/2025;9492718;Obra 1;Pintópolis;2301520 000022/2025
DC-9492718/2025;9492718;Obra 1;Urucuia;2301520 000022/2025
DC-9493122/2026;9493122;Obra 1;Manga;2301520 000034/2025
DC-9493122/2026;9493122;Obra 1;Matias Cardoso;2301520 000034/2025
DC-9493529/2026;9493529;Obra 1;Itueta;2301520 000036/2025
DC-9493529/2026;9493529;Obra 1;Santa Rita do Itueto;2301520 000036/2025
DC-9495596/2026;9495596;Obra 1;Igaratinga;2301520 000030/2025
DC-9496643/2026;9496643;Obra 1;Belo Horizonte;1301606 000002/2025
DC-9496643/2026;9496643;Obra 1;Lagoa Santa;1301606 000002/2025
DC-9496643/2026;9496643;Obra 2;Belo Horizonte;1301606 000002/2025
DC-9497471/2026;9497471;Obra 1;Iturama;1301606 000003/2025
DC-9498666/2026;9453556;Obra 1;Belo Horizonte;2301520 000041/2025
DC-9501601/2026;9501601;Obra 1;Pintópolis;2301520 000037/2025
DC-9501601/2026;9501601;Obra 2;Pintópolis;2301520 000037/2025
DC-9501601/2026;9501601;Obra 3;Pintópolis;2301520 000037/2025
DC-9505062/2026;9505062;Obra 1;Munhoz;2301520 000044/2025
DC-9507997/2026;9507997;Obra 1;Paracatu;
DC-9507997/2026;9507997;Obra 1;Paracatu;
DC-9507997/2026;9507997;Obra 2;Paracatu;
DC-9507997/2026;9507997;Obra 2;Paracatu;
DER-30.014/2025;Concluído;Obra 1;Uberaba;Não Disponível
DF-012/2021-A;9287985;Obra 1;Belo Horizonte;2301403 000004/2021
DF/GTIC-9444079;9444079;Obra 1;Belo Horizonte;2301403 000100/2024
DG/AMA-009436677/2024;9436677;Obra 1;Santa Fé de Minas;2301617 000002/2024
DI-22.001/2020;9241566;Obra 1;Brumadinho;2301520 000003/2019
DI-22.001/2020;9241566;Obra 2;Brumadinho;2301520 000003/2019
DI-22.001/2020;9241566;Obra 3;Brumadinho;2301520 000003/2019
DI-22.001/2020;9241566;Obra 4;Brumadinho;2301520 000003/2019
DM - 024/2021;9300467;Obra 1;Carbonita;2301762 000064/2021
DM - 024/2021;9300467;Obra 1;Turmalina;2301762 000064/2021
DM 014/2021;9292103;Obra 1;Oliveira Fortes;2301762 000012/2021
DM 014/2021;9292103;Obra 1;Ubá;2301762 000012/2021
DM-001/2021;9472752;Obra 1;Manhumirim;2301762 000012/2020
DM-001/2021;9472752;Obra 1;Reduto;2301762 000012/2020
DM-001/2022;9472756;Obra 1;Manhumirim;2301762 000079/2021
DM-001/2022;9472756;Obra 1;Pocrane;2301762 000079/2021
DM-001/2022;9472756;Obra 1;Santana do Manhuaçu;2301762 000079/2021
DM-001/2023;9372553;Obra 1;Acaiaca;2301762 000042/2022
DM-001/2023;9372553;Obra 1;Matipó;2301762 000042/2022
DM-001/2023;9372553;Obra 1;Ponte Nova;2301762 000042/2022
DM-001/2023;9372553;Obra 1;Porto Firme;2301762 000042/2022
DM-001/2023;9372553;Obra 1;Viçosa;2301762 000042/2022
DM-001/2024;9410177;Obra 1;Capitão Enéas;2301762 000001/2024
DM-001/2024;9410177;Obra 1;Catuti;2301762 000001/2024
DM-001/2024;9410177;Obra 1;Espinosa;2301762 000001/2024
DM-001/2024;9410177;Obra 1;Francisco Sá;2301762 000001/2024
DM-001/2024;9410177;Obra 1;Gameleiras;2301762 000001/2024
DM-001/2024;9410177;Obra 1;Grão Mogol;2301762 000001/2024
DM-001/2024;9410177;Obra 1;Janaúba;2301762 000001/2024
DM-001/2024;9410177;Obra 1;Jaíba;2301762 000001/2024
DM-001/2024;9410177;Obra 1;Mamonas;2301762 000001/2024
DM-001/2024;9410177;Obra 1;Matias Cardoso;2301762 000001/2024
DM-001/2024;9410177;Obra 1;Mato Verde;2301762 000001/2024
DM-001/2024;9410177;Obra 1;Monte Azul;2301762 000001/2024
DM-001/2024;9410177;Obra 1;Montes Claros;2301762 000001/2024
DM-001/2024;9410177;Obra 1;Nova Porteirinha;2301762 000001/2024
DM-001/2024;9410177;Obra 1;Pai Pedro;2301762 000001/2024
DM-001/2024;9410177;Obra 1;Porteirinha;2301762 000001/2024
DM-001/2024;9410177;Obra 1;Riacho dos Machados;2301762 000001/2024
DM-001/2024;9410177;Obra 1;Santo Antônio do Retiro;2301762 000001/2024
DM-001/2024;9410177;Obra 1;Serranópolis de Minas;2301762 000001/2024
DM-001/2024;9410177;Obra 1;São João da Ponte;2301762 000001/2024
DM-001/2024;9410177;Obra 1;Verdelândia;2301762 000001/2024
DM-001/2024-A;9410177;Obra 1;Capitão Enéas;2301762 000001/2024
DM-001/2024-A;9410177;Obra 1;Catuti;2301762 000001/2024
DM-001/2024-A;9410177;Obra 1;Espinosa;2301762 000001/2024
DM-001/2024-A;9410177;Obra 1;Francisco Sá;2301762 000001/2024
DM-001/2024-A;9410177;Obra 1;Gameleiras;2301762 000001/2024
DM-001/2024-A;9410177;Obra 1;Grão Mogol;2301762 000001/2024
DM-001/2024-A;9410177;Obra 1;Janaúba;2301762 000001/2024
DM-001/2024-A;9410177;Obra 1;Jaíba;2301762 000001/2024
